Time(s),Input,Output_Displacement,,,,,,,,,,,
62,1.572,5.099,,,,,,,,,,,
62.1,1.906,5.091,,,,,,,,,,,
62.2,1.996,5.261,,,,,,,,,,,
62.3,1.818,5.563,,,,,,,,,,,
62.4,1.419,5.917,,,,,,,,,,,
62.5,0.908,6.226,,,,,,,,,,,
62.6,0.421,6.408,,,,,,,,,,,
62.7,0.09,6.414,,,,,,,,,,,
62.8,0.005,6.241,,,,,,,,,,,
62.9,0.187,5.937,,,,,,,,,,,
63,0.588,5.584,,,,,,,,,,,
63.1,1.101,5.276,,,,,,,,,,,
63.2,1.586,5.096,,,,,,,,,,,
63.3,1.913,5.094,,,,,,,,,,,
63.4,1.994,5.269,,,,,,,,,,,
63.5,1.808,5.574,,,,,,,,,,,
63.6,1.404,5.928,,,,,,,,,,,
63.7,0.891,6.235,,,,,,,,,,,
63.8,0.407,6.411,,,,,,,,,,,
