Time(s),Input,Output_Displacement,,,,,,
140.8,1.361,5.63,,,,,,
140.9,0.675,5.893,,,,,,
141,0.142,6.091,,,,,,
141.1,0.013,6.129,,,,,,
141.2,0.348,5.991,,,,,,
141.3,0.989,5.741,,,,,,
141.4,1.636,5.496,,,,,,
141.5,1.984,5.372,,,,,,
141.6,1.869,5.428,,,,,,
141.7,1.345,5.636,,,,,,
141.8,0.659,5.899,,,,,,
141.9,0.134,6.094,,,,,,
142,0.016,6.128,,,,,,
142.1,0.361,5.986,,,,,,
142.2,1.006,5.735,,,,,,
142.3,1.649,5.492,,,,,,
142.4,1.986,5.372,,,,,,
142.5,1.86,5.431,,,,,,
142.6,1.329,5.642,,,,,,
142.7,0.643,5.905,,,,,,
142.8,0.125,6.097,,,,,,
142.9,0.019,6.127,,,,,,
143,0.374,5.981,,,,,,
143.1,1.023,5.728,,,,,,
143.2,1.662,5.487,,,,,,
143.3,1.989,5.371,,,,,,
143.4,1.851,5.435,,,,,,
143.5,1.313,5.648,,,,,,
143.6,0.628,5.911,,,,,,
143.7,0.117,6.099,,,,,,
143.8,0.022,6.125,,,,,,
143.9,0.387,5.976,,,,,,
144,1.04,5.722,,,,,,
144.1,1.674,5.482,,,,,,
144.2,1.991,5.37,,,,,,
144.3,1.842,5.438,,,,,,
144.4,1.297,5.654,,,,,,
144.5,0.612,5.917,,,,,,
144.6,0.11,6.102,,,,,,
144.7,0.026,6.123,,,,,,
144.8,0.4,5.97,,,,,,
144.9,1.057,5.715,,,,,,
145,1.686,5.478,,,,,,
145.1,1.993,5.37,,,,,,
145.2,1.833,5.442,,,,,,
145.3,1.281,5.661,,,,,,
145.4,0.597,5.923,,,,,,
145.5,0.102,6.105,,,,,,
145.6,0.03,6.122,,,,,,
145.7,0.414,5.965,,,,,,
145.8,1.073,5.709,,,,,,
145.9,1.699,5.473,,,,,,
146,1.995,5.369,,,,,,
146.1,1.824,5.446,,,,,,
146.2,1.265,5.667,,,,,,
146.3,0.581,5.928,,,,,,
146.4,0.095,6.107,,,,,,
146.5,0.034,6.12,,,,,,
